sample,tissue,instar,day,sex,dsx1,dsx6,fru,dmrt99B1,dmrt99B2,dmrt99B3,dmrt99B5,dmrt93B1,dmrt93B3,dmrt93B4a,dmrt93B4b,dmrt93B5,dsx2,dsx2b,dsx3,dsx4,ix
005_L4_d5_vis,viscera,L4,d5, j,0.6953180542934954,0.7147632974955255,0.9048968940828099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
006_L4_d5_vis,viscera,L4,d5, j,0.6771872561409403,0.6754586242450107,0.8859866129209817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
007_L4_d5_vis,viscera,L4,d5, j,0.8005660738814777,0,0.9139985233342814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
010_L5_d1_F_vis,viscera,L5,d1,f,0.6954699644395245,0.6458595801270782,0.8972166647007194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
012_L5_d1_F_vis,viscera,L5,d1,f,0.5639988550081724,0.24709929492204483,0.8808934507253402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
015_L5_d1_F_vis,viscera,L5,d1,f,0.63562505713799,0,0.8882403239128973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
017_L5_d1_F_vis,viscera,L5,d1,f,0.7385582307259285,0.5473994096855868,0.9619379832763749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
021_L5_d1_F_vis,viscera,L5,d1,f,0.5420285424557849,0,0.8890557392310826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
022_L5_d1_F_vis,viscera,L5,d1,f,0.7046932474607677,0.3582154130840165,0.9140482316738114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
008_L5_d1_M_vis,viscera,L5,d1,m,0.8674594155638706,1.0026754499110568,0.9509774081690239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
009_L5_d1_M_vis,viscera,L5,d1,m,0.7709285649178008,0.3463074429266759,0.9325004804869261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
011_L5_d1_M_vis,viscera,L5,d1,m,0.5759331308506197,0.31877847435727885,0.8609769807861726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
013_L5_d1_M_vis,viscera,L5,d1,m,0,0,0.9172048013708948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
014_L5_d1_M_vis,viscera,L5,d1,m,0.6639991656975662,0.11052063681986565,0.8769716939428198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
016_L5_d1_M_vis,viscera,L5,d1,m,0.6898515397658732,0.2681227263085328,0.8962602659041723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
023_L5_d6_F_vis,viscera,L5,d6,f,0.6619721111574215,0,0.9360388822251032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
024_L5_d6_F_vis,viscera,L5,d6,f,0.8321433257847203,0.9260763819139697,0.9949810377425142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
025_L5_d6_F_vis,viscera,L5,d6,f,0.7823877169996936,0.9741163671157201,0.9577543238098736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
026_L5_d6_F_vis,viscera,L5,d6,f,0.6679321102340255,0.7967021257436616,1.00503429930839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
027_L5_d6_M_vis,viscera,L5,d6,m,0.8575266948357324,1.0981777410377696,0.9990526277919392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
028_L5_d6_M_vis,viscera,L5,d6,m,0.7942271582271434,0.9306029748825145,1.0149130707027796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
029_L5_d6_M_vis,viscera,L5,d6,m,0.8503128024178973,0.9879434834067753,1.0137029766556818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
030_L5_d6_M_vis,viscera,L5,d6,m,0.7779741399895653,0.9512876310838588,0.9945986853937799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
031_L5_d6_M_vis,viscera,L5,d6,m,0.7989032730239684,0.9334448782250779,1.038508626645331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
032_L5_d6_M_vis,viscera,L5,d6,m,0.9660902624523846,1.2129588256161277,1.0732448436085906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L2070_h_1,head,adult,d1,m,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,1.1359321003786744,1.2202910623280334
L2070_dT_1,dorsal thorax,adult,d1,m,0,0.6310154144914292,0.8887736213209079,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0008134846753332
L2070_vT_1,legs,adult,d1,m,0,0,1.1403431672307942,0,0,0,0,0,0,0,0,0,0,0,0,0,1.04215029131921
L2070_te_1,testes,adult,d1,m,0,0,1.14151383766534,0,0,0,0,0,1.2081094618436619,0.9401587127290212,1.3369919336339213,1.3554315191412418,0,0,0,0,1.1516608562437103
L1996_gc_1,genital capsule,adult,d1,m,0.719239490867555,0.8066545064752444,0.9137274061698234,0,0,0,0,0,0,0,0,0,0,0,0,0.7272528412593237,0.9766403125518428
L2069_h_1,head,adult,d1,m,0,0,0.9683192171818868,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0170402960676068
L2069_vT_1,dorsal thorax,adult,d1,m,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L2069_dT_1,legs,adult,d1,m,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L2069_te_1,testes,adult,d1,m,0,0,1.1733405786364175,0,0,0,0,0,1.2605425047467256,1.1404752097476298,1.3582272021325337,1.3827760074666808,0,0,0,0,1.1547692327304826
L2069_gc_1,genital capsule,adult,d1,m,0,0.7199163684226652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1453255640938418
L2055_h_1,head,adult,d1,f,0,0,1.1773068368486508,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0505766621648764
L2055_dT_1,dorsal thorax,adult,d1,f,0,0,1.1087788652066106,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1723260171746148
